pl_rade,pl_eqt,pl_orbper,st_teff,st_rad,st_logg,tfopwg_disp
8.3475973,573.0537137,27.2149622,6270.0,0.989667,4.54537,FP
2.4311768,611.0168649,19.1807264,5262.4,0.937973,3.98,PC
0.879419,1092.1250255,1.2124493,3751.0,0.518,4.75718,PC
0.8887417,694.0557871,4.5541831,4280.0,0.635812,4.61209,PC
12.5121956,1035.0005398,41.4856125,6354.0,3.4868701,4.24472,PC
1.8971927,730.4597521,13.7738265,5455.96,1.01825,4.46737,PC
7.84317,1009.0,2.7441672,5040.0,0.97,4.38482,PC
17.9781,2634.0,2.2047452,6532.23,1.99,3.96818,KP
2.4691414,390.8242112,10.8948421,3618.0,0.435666,4.79432,CP
1.9112282,325.8292621,18.8016111,3618.0,0.435666,4.79432,CP
9.7548481,1192.2564672,6.7900981,6378.0,2.00068,4.438,KP
9.31888,860.0,8.157721,5091.2,0.9,4.47,CP
2.3483383,994.5309519,4.2529641,5591.0,0.848906,4.38111,CP
2.22995,757.0,9.2378703,5591.0,0.85,4.38111,PC
10.3261619,525.9431131,3.7955178,3424.0,0.445372,4.438,CP
18.4949,551.0,14.3034613,5056.6,0.83,4.53,FP
13.1383,1509.0,6.1349783,5828.7,2.05,3.84,KP
4.5947,923.0,3.3159772,4972.7,0.81,4.54,CP
9.34848,1078.0,4.6313014,5736.0,1.07,4.39,CP
9.38964,534.0,19.3203478,4968.1,0.8,4.5,PC
4.2917226,707.3693882,11.3246821,5518.0,0.824734,4.59176,FA
1.3468319,414.5815396,6.261169,3145.0,0.211257,5.04431,FA
3.2287724,661.2039892,,5544.0,0.857648,4.5609,FA
2.72638,788.0,14.8559691,5544.0,0.86,4.5609,PC
8.6976173,407.866275,14.4751062,3841.0,0.55035,4.69364,CP
3.2264735,749.8978043,9.6141636,5477.0,0.840608,4.5707,CP
2.3216,1178.0,4.9404714,6086.0,1.13,4.26269,CP
3.21431,641.0,9.692636,4665.0,0.75,4.56182,PC
2.47201,1227.0,6.390888,6191.0,1.32,4.27017,PC
17.1331258,2332.2259008,0.9689927,6430.0,1.41398,4.25113,KP
11.8729,903.0,10.338505,5336.96,0.84,4.55466,KP
2.558112,923.6720985,1.283251,3855.0,0.560391,4.68499,FP
1.866263,841.1003116,1.2284388,3526.0,0.53023,4.71105,FP
10.4852,2958.0,0.6166953,6588.0,1.57,4.1855,APC
2.4070295,950.8147029,9.6001126,5891.0,1.2103699,4.30161,PC
4.94551,1639.0,2.6998294,6180.0,0.92,4.57956,CP
2.2014886,952.4881815,0.581322,3446.0,0.38621,4.83941,FP
5.9162923,1320.951709,0.980972,4486.0,0.764401,4.49914,CP
2.25345,1192.0,5.3987355,5875.23,1.26,4.26474,KP
5.05452,1649.0,7.16199,6229.0,1.81,4.0,PC
7.6126429,1654.2989516,4.7802597,5826.0,2.3387201,3.7213,PC
2.0605,1539.0,0.3814849,4255.0,0.71,4.55641,PC
2.1961507,519.9004855,4.6595169,3489.0,0.490729,4.74553,PC
2.2730301,699.0536347,6.4002807,4599.0,0.720551,4.58487,CP
2.36747,572.0,4.8204512,3692.0,0.52,4.71598,PC
4.3869878,585.8091542,18.6548829,5141.0,0.876154,4.49143,CP
3.2819879,954.8757629,4.3074513,5141.0,0.876154,4.49143,CP
2.4489454,859.6105665,5.9041278,5141.0,0.876154,4.49143,CP
3.241643,462.4282696,37.9251983,5141.0,0.876154,4.49143,CP
2.18203,735.0,15.9234883,5711.85,1.08,4.38315,CP
6.9564258,961.6063113,4.3601536,5227.0,0.874131,4.50479,CP
3.25485,735.0,13.0791581,5453.0,1.0,4.41707,CP
2.66889,1343.0,4.6517186,5154.0,0.85,4.47072,CP
2.62011,710.0,9.1549418,5154.0,0.85,4.47072,CP
2.54717,562.0,19.9815709,5154.0,0.85,4.47072,CP
2.9700035,465.178087,,5154.0,0.852266,4.47072,
3.8345209,2198.3076824,1.4415044,6603.0,1.58365,4.438,FA
10.0859,,5.9630544,5273.0,0.94,4.438,APC
3.9968417,1479.5361862,1.1219715,5780.0,0.624,4.67672,PC
4.02964,1199.0,4.6756797,5779.0,1.45,4.88162,FP
6.5875997,1801.3210938,1.0180114,5451.0,1.0933,4.33923,APC
2.73221,622.0,10.2888871,5126.0,0.87,4.49772,CP
4.087988,516.1833775,1.0332441,2972.0,0.156193,5.15741,FP
14.5502,1271.0,5.4526479,6509.0,1.57,4.17233,KP
3.60391,1152.0,10.2613397,6124.0,1.49,4.15391,PC
